Year,Month,Forecasted_CPI
2025,March,195.65
2025,April,196.92
2025,May,197.91
2025,June,199.34
2025,July,201.27
2025,August,202.01
2025,September,202.66
2025,October,204.15
2025,November,204.84
2025,December,204.17
2026,January,203.82
2026,February,204.03
2026,March,204.68
2026,April,205.84
2026,May,207.0
2026,June,208.44
2026,July,210.59
2026,August,211.49
2026,September,211.79
2026,October,212.99
2026,November,213.75
2026,December,213.41
2027,January,213.31
2027,February,213.33
2027,March,213.71
2027,April,214.75
2027,May,216.09
2027,June,217.55
2027,July,219.92
2027,August,220.96
2027,September,220.91
2027,October,221.82
2027,November,222.66
2027,December,222.66
2028,January,222.8
2028,February,222.62
2028,March,223.23
2028,April,224.63
2028,May,225.45
2028,June,226.87
2028,July,228.57
2028,August,229.16
2028,September,230.14
2028,October,231.93
2028,November,232.57
2028,December,231.57
2029,January,230.96
2029,February,231.35
2029,March,232.27
2029,April,233.55
2029,May,234.53
2029,June,235.97
2029,July,237.89
2029,August,238.64
2029,September,239.29
2029,October,240.78
2029,November,241.47
2029,December,240.8
2030,January,240.44
2030,February,240.66
2030,March,241.31
2030,April,242.47
2030,May,243.62
2030,June,245.07
