ISIN_NUMBER,Date,Price
INF179K01UT0,2013-01-01,296.876
INF179K01UT0,2013-01-02,299.604
INF179K01UT0,2013-01-03,300.196
INF179K01UT0,2013-01-04,300.762
INF179K01UT0,2013-01-07,299.986
INF179K01UT0,2013-01-08,300.145
INF179K01UT0,2013-01-09,299.514
INF179K01UT0,2013-01-10,299.276
INF179K01UT0,2013-01-11,298.446
INF179K01UT0,2013-01-14,302.061
INF179K01UT0,2013-01-15,302.898
INF179K01UT0,2013-01-16,298.628
INF179K01UT0,2013-01-17,300.438
INF179K01UT0,2013-01-18,303.308
INF179K01UT0,2013-01-21,304.241
INF179K01UT0,2013-01-22,301.112
INF179K01UT0,2013-01-23,300.916
INF179K01UT0,2013-01-24,296.593
INF179K01UT0,2013-01-25,300.922
INF179K01UT0,2013-01-28,300.776
INF179K01UT0,2013-01-29,299.169
INF179K01UT0,2013-01-30,298.75
INF179K01UT0,2013-01-31,299.831
INF179K01UT0,2013-02-01,299.07
INF179K01UT0,2013-02-04,296.282
INF179K01UT0,2013-02-05,294.293
INF179K01UT0,2013-02-06,294.076
INF179K01UT0,2013-02-07,291.773
INF179K01UT0,2013-02-08,289.175
INF179K01UT0,2013-02-11,288.975
INF179K01UT0,2013-02-12,289.962
INF179K01UT0,2013-02-13,289.597
INF179K01UT0,2013-02-14,286.407
INF179K01UT0,2013-02-15,286.198
INF179K01UT0,2013-02-18,286.8
INF179K01UT0,2013-02-19,289.043
INF179K01UT0,2013-02-20,287.981
INF179K01UT0,2013-02-21,283.251
INF179K01UT0,2013-02-22,283.305
INF179K01UT0,2013-02-25,282.394
INF179K01UT0,2013-02-26,278.555
INF179K01UT0,2013-02-27,281.381
INF179K01UT0,2013-02-28,274.166
INF179K01UT0,2013-03-01,276.107
INF179K01UT0,2013-03-04,274.645
INF179K01UT0,2013-03-05,279.133
INF179K01UT0,2013-03-06,282.096
INF179K01UT0,2013-03-07,283.811
INF179K01UT0,2013-03-08,286.769
INF179K01UT0,2013-03-11,286.402
INF179K01UT0,2013-03-12,285.143
INF179K01UT0,2013-03-13,281.205
INF179K01UT0,2013-03-14,284.652
INF179K01UT0,2013-03-15,282.647
INF179K01UT0,2013-03-18,281.074
INF179K01UT0,2013-03-19,276.704
INF179K01UT0,2013-03-20,271.844
INF179K01UT0,2013-03-21,269.923
INF179K01UT0,2013-03-22,268.812
INF179K01UT0,2013-03-25,267.617
INF179K01UT0,2013-03-26,267.881
INF179K01UT0,2013-03-28,271.528
INF179K01UT0,2013-04-01,272.867
INF179K01UT0,2013-04-02,276.355
INF179K01UT0,2013-04-03,273.36
INF179K01UT0,2013-04-04,268.864
INF179K01UT0,2013-04-05,268.855
INF179K01UT0,2013-04-08,268.002
INF179K01UT0,2013-04-09,265.274
INF179K01UT0,2013-04-10,267.777
INF179K01UT0,2013-04-11,270.253
INF179K01UT0,2013-04-12,267.788
INF179K01UT0,2013-04-15,270.636
INF179K01UT0,2013-04-16,274.534
INF179K01UT0,2013-04-17,275.626
INF179K01UT0,2013-04-18,279.173
INF179K01UT0,2013-04-22,281.675
INF179K01UT0,2013-04-23,280.719
INF179K01UT0,2013-04-25,282.957
INF179K01UT0,2013-04-26,280.931
INF179K01UT0,2013-04-29,282.205
INF179K01UT0,2013-04-30,282.76
INF179K01UT0,2013-05-02,285.745
INF179K01UT0,2013-05-03,282.226
INF179K01UT0,2013-05-06,283.723
INF179K01UT0,2013-05-07,286.628
INF179K01UT0,2013-05-08,287.482
INF179K01UT0,2013-05-09,287.526
INF179K01UT0,2013-05-10,289.695
INF179K01UT0,2013-05-13,284.917
INF179K01UT0,2013-05-14,286.722
INF179K01UT0,2013-05-15,293.794
INF179K01UT0,2013-05-16,295.744
INF179K01UT0,2013-05-17,297.3
INF179K01UT0,2013-05-20,295.929
INF179K01UT0,2013-05-21,293.621
INF179K01UT0,2013-05-22,291.527
INF179K01UT0,2013-05-23,283.181
INF179K01UT0,2013-05-24,284.714
INF179K01UT0,2013-05-27,287.219
INF179K01UT0,2013-05-28,288.59
INF179K01UT0,2013-05-29,287.117
INF179K01UT0,2013-05-30,287.155
INF179K01UT0,2013-05-31,282.378
INF179K01UT0,2013-06-03,282.476
INF179K01UT0,2013-06-04,282.075
INF179K01UT0,2013-06-05,282.066
INF179K01UT0,2013-06-06,282.503
INF179K01UT0,2013-06-07,280.889
INF179K01UT0,2013-06-10,279.28
INF179K01UT0,2013-06-11,274.005
INF179K01UT0,2013-06-12,272.6
INF179K01UT0,2013-06-13,268.322
INF179K01UT0,2013-06-14,274.105
INF179K01UT0,2013-06-17,275.981
INF179K01UT0,2013-06-18,274.971
INF179K01UT0,2013-06-19,274.999
INF179K01UT0,2013-06-20,267.595
INF179K01UT0,2013-06-21,266.775
INF179K01UT0,2013-06-24,261.619
INF179K01UT0,2013-06-25,260.648
INF179K01UT0,2013-06-26,260.357
INF179K01UT0,2013-06-27,262.894
INF179K01UT0,2013-06-28,269.278
INF179K01UT0,2013-07-01,273.327
INF179K01UT0,2013-07-02,272.111
INF179K01UT0,2013-07-03,266.755
INF179K01UT0,2013-07-04,269.361
INF179K01UT0,2013-07-05,269.574
INF179K01UT0,2013-07-08,266.983
INF179K01UT0,2013-07-09,268.825
INF179K01UT0,2013-07-10,267.088
INF179K01UT0,2013-07-11,270.602
INF179K01UT0,2013-07-12,273.357
INF179K01UT0,2013-07-15,274.8
INF179K01UT0,2013-07-16,269.834
INF179K01UT0,2013-07-17,268.473
INF179K01UT0,2013-07-18,271.21
INF179K01UT0,2013-07-19,270.224
INF179K01UT0,2013-07-22,269.761
INF179K01UT0,2013-07-23,271.72
