,isin,name,category,crisil_rating,detail_info,fund_rating,last_nav,lump_available,sip_available,volatility,maturity_type,1_year,3_year,5_year
0,INF00XX01168,ITI Multi Cap Growth Direct Plan,Equity,Very High Risk,https://www.itiamc.com/downloads,2.0,23.5733,Y,Y,18.4115,Open Ended,-3.34313,17.3873,24.7099
1,INF00XX01176,ITI Multi Cap IDCW Payout Direct Plan,Equity,Very High Risk,https://www.itiamc.com/downloads,2.0,21.7236,Y,Y,18.5413,Open Ended,-3.34274,17.3738,24.7013
2,INF00XX01184,ITI Multi Cap IDCW Reinvest Direct Plan,Equity,Very High Risk,https://www.itiamc.com/downloads,2.0,21.7236,Y,Y,18.5413,Open Ended,-3.34274,17.3738,24.7013
3,INF00XX01283,ITI Liquid Growth Direct Plan,Debt - Bonds,Low to Moderate Risk,https://www.itiamc.com/downloads,,1351.3047,Y,Y,0.0860543,Open Ended,7.17795,6.58977,5.18482
4,INF00XX01291,ITI Liquid Daily IDCW Reinvest Direct Plan,Debt - Bonds,Low to Moderate Risk,https://www.itiamc.com/downloads,,1001.5882,Y,Y,0.0247494,Open Ended,5.77199,6.10948,4.8183
5,INF00XX01309,ITI Liquid Weekly IDCW Reinvest Direct Plan,Debt - Bonds,Low to Moderate Risk,https://www.itiamc.com/downloads,,1002.4628,Y,Y,0.5937,Open Ended,7.18614,6.59635,5.15349
6,INF00XX01317,ITI Liquid Fortnightly IDCW Reinvest Direct Plan,Debt - Bonds,Low to Moderate Risk,https://www.itiamc.com/downloads,,1001.0,Y,Y,0.72136,Open Ended,0.0,0.0,0.0
7,INF00XX01325,ITI Liquid Monthly IDCW Reinvest Direct Plan,Debt - Bonds,Low to Moderate Risk,https://www.itiamc.com/downloads,,1003.9614,Y,Y,1.25667,Open Ended,6.58329,6.37486,4.95409
8,INF00XX01333,ITI Liquid Annually IDCW Reinvest Direct Plan,Debt - Bonds,Low to Moderate Risk,https://www.itiamc.com/downloads,,1352.5978,Y,Y,0.097988,Open Ended,7.20093,6.61021,5.20948
9,INF00XX01341,ITI Liquid Fortnightly IDCW Payout Direct Plan,Debt - Bonds,Low to Moderate Risk,https://www.itiamc.com/downloads,,1001.0,Y,Y,0.72136,Open Ended,0.0,0.0,0.0
10,INF00XX01358,ITI Liquid Monthly IDCW Payout Direct Plan,Debt - Bonds,Low to Moderate Risk,https://www.itiamc.com/downloads,,1003.9614,Y,Y,1.25667,Open Ended,6.58329,6.37486,4.95409
11,INF00XX01366,ITI Liquid Annually IDCW Payout Direct Plan,Debt - Bonds,Low to Moderate Risk,https://www.itiamc.com/downloads,,1352.5978,Y,Y,0.097988,Open Ended,7.20093,6.61021,5.20948
12,INF00XX01390,ITI ELSS Tax Saver Growth Direct Plan,ELSS,Very High Risk,https://www.itiamc.com/downloads,4.0,24.5001,Y,Y,18.2606,Open Ended,2.17476,18.4988,27.218
13,INF00XX01408,ITI ELSS Tax Saver IDCW Payout Direct Plan,ELSS,Very High Risk,https://www.itiamc.com/downloads,4.0,22.5921,Y,Y,18.3884,Open Ended,2.17491,18.4988,27.2181
14,INF00XX01440,ITI Arbitrage Growth Direct Plan,Equity,Low Risk,https://www.itiamc.com/downloads,,13.2995,Y,Y,1.04217,Open Ended,7.87079,6.64104,5.26476
15,INF00XX01457,ITI Arbitrage IDCW Payout Direct Plan,Equity,Low Risk,https://www.itiamc.com/downloads,,13.2995,Y,Y,1.04217,Open Ended,7.87079,6.64104,5.26476
