Date,Price
2025-04-07,"88,601.00"
2025-04-04,"88,804.00"
2025-04-03,"90,809.00"
2025-04-02,"90,504.00"
2025-04-01,"90,719.00"
2025-03-31,"90,134.00"
2025-03-28,"88,715.00"
2025-03-27,"88,523.00"
2025-03-26,"87,645.00"
2025-03-25,"87,794.00"
2025-03-24,"87,322.00"
2025-03-21,"87,674.00"
2025-03-20,"88,634.00"
2025-03-19,"88,491.00"
2025-03-18,"88,631.00"
2025-03-17,"88,050.00"
2025-03-14,"87,794.00"
2025-03-13,"87,460.00"
2025-03-12,"86,166.00"
2025-03-11,"86,079.00"
2025-03-10,"85,922.00"
2025-03-07,"86,182.00"
2025-03-06,"85,913.00"
2025-03-05,"85,817.00"
2025-03-04,"85,891.00"
2025-03-03,"85,032.00"
2025-02-28,"84,211.00"
2025-02-27,"84,929.00"
2025-02-26,"85,589.00"
2025-02-25,"86,373.00"
2025-02-24,"86,099.00"
2025-02-21,"85,849.00"
2025-02-20,"85,959.00"
2025-02-19,"86,252.00"
2025-02-18,"85,909.00"
2025-02-17,"85,110.00"
2025-02-14,"85,686.00"
2025-02-13,"85,864.00"
2025-02-12,"85,303.00"
2025-02-11,"85,337.00"
2025-02-10,"85,761.00"
2025-02-07,"84,968.00"
2025-02-06,"84,398.00"
2025-02-05,"84,769.00"
2025-02-04,"83,650.00"
2025-02-03,"83,380.00"
2025-01-31,"82,152.00"
2025-01-30,"81,255.00"
2025-01-29,"80,567.00"
2025-01-28,"80,090.00"
2025-01-27,"79,871.00"
2025-01-24,"80,191.00"
2025-01-23,"79,360.00"
2025-01-22,"79,553.00"
2025-01-21,"79,182.00"
2025-01-20,"78,656.00"
2025-01-17,"78,989.00"
2025-01-16,"79,191.00"
2025-01-15,"78,560.00"
2025-01-14,"78,047.00"
2025-01-13,"78,281.00"
2025-01-10,"78,614.00"
2025-01-09,"78,201.00"
2025-01-08,"77,973.00"
2025-01-07,"77,683.00"
2025-01-06,"76,905.00"
2025-01-03,"77,457.00"
2025-01-02,"77,465.00"
2025-01-01,"76,796.00"
2024-12-31,"76,487.00"
2024-12-30,"76,387.00"
2024-12-27,"76,531.00"
2024-12-26,"76,679.00"
2024-12-25,"76,258.00"
2024-12-24,"76,169.00"
2024-12-23,"76,172.00"
2024-12-20,"76,169.00"
2024-12-19,"76,171.00"
2024-12-18,"76,171.00"
2024-12-17,"76,583.00"
2024-12-16,"77,117.00"
2024-12-13,"76,170.00"
2024-12-12,"78,053.00"
2024-12-11,"78,543.00"
2024-12-10,"78,219.00"
2024-12-09,"76,171.00"
2024-12-06,"76,172.00"
2024-12-05,"76,169.00"
2024-12-04,"76,075.00"
2024-12-03,"76,044.00"
2024-12-02,"76,203.00"
2024-11-29,"76,249.00"
2024-11-28,"75,839.00"
2024-11-27,"76,062.00"
2024-11-26,"75,214.00"
2024-11-25,"75,807.00"
2024-11-22,"77,279.00"
2024-11-21,"76,463.00"
2024-11-20,"75,890.00"
2024-11-19,"75,573.00"
2024-11-18,"74,984.00"
2024-11-15,"74,232.00"
2024-11-14,"73,829.00"
2024-11-13,"74,957.00"
2024-11-12,"75,205.00"
2024-11-11,"75,582.00"
2024-11-08,"77,313.00"
2024-11-07,"77,237.00"
