Bank,Highest FD Rate (% p.a.),1-year FD Rate (% p.a.),3-year FD Rate (% p.a.),5-year FD Rate (% p.a.),Additional Interest Rate for Senior Citizens (% p.a.)
North East Small Finance Bank,9,7,9,6.25,0.5
Unity Small Finance Bank,8.6,7.25,8.15,8.15,0.5
Suryoday Small Finance Bank,8.6,8.25,8.25,8.6,0.5
Shivalik Small Finance Bank,8.55,6.75,7.5,6.5,0.5
Utkarsh Small Finance Bank,8.5,8.5,8.5,7.75,0.6
ESAF Small Finance Bank,8.38,6.75,6.75,6.25,0.5
Jana Small Finance Bank,8.25,8.25,8.25,8.2,0.5
Ujjivan Small Finance Bank,8.25,8.1,7.2,7.2,0.5
Equitas Small Finance Bank,8.25,8.1,8,7.25,0.75
SBM Bank,8.25,7.05,7.3,7.75,0.5
Bandhan Bank,8.05,8.05,7.25,5.85,0.75
AU Small Finance,8,7.25,7.5,7.25,0.5
DCB Bank,8,7.1,7.5,7.4,0.5
RBL Bank,8,7.5,7.5,7.1,0.5
YES Bank,8,7.25,7.25,7.25,0.75
IDFC First Bank,7.9,6.5,6.8,6.75,0.5
IndusInd Bank,7.75,7.75,7.25,7.25,0.5
Central Bank of India,7.5,6.85,7,6.75,0.5
Punjab & Sind Bank,7.45,6.3,6,6.5,0.5
HDFC Bank,7.4,6.6,7,7,0.5
